Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,12522,2012-10-22,-0.034893302,0.0074466511,0.0073386613,21,100
Market-Adjusted Model,12523,2012-10-22,-0.019420781,0.0233614234,0.0228111825,21,100
Market-Adjusted Model,12526,2012-10-22,0.0301841057,0.0327014115,0.0328632945,9,100
Market-Adjusted Model,12527,2012-10-22,-0.25999997,-0.243165937,-0.217768007,21,100
Market-Adjusted Model,12528,2012-10-22,-0.013194415,0.0307481033,0.0290375478,21,100
Market-Adjusted Model,12529,2012-10-22,-0.028669235,0.0152772769,0.0135627282,21,100
Market-Adjusted Model,12530,2012-10-22,-0.029929546,0.0154540263,0.0123024167,21,100
Market-Adjusted Model,12531,2012-10-22,0.0868609091,0.1406808429,0.1290928722,21,100
Market-Adjusted Model,12533,2012-10-22,-0.036160691,0.0066708459,0.006071272,21,100
Market-Adjusted Model,12534,2012-10-22,-0.071973469,-0.031233008,-0.029741506,21,100
Market-Adjusted Model,12535,2012-10-22,-0.01426479,0.0287826638,0.0279671732,21,100
Market-Adjusted Model,12536,2012-10-22,-0.006269403,0.0364040802,0.0359625605,21,100
Market-Adjusted Model,12537,2012-10-22,-0.019721401,0.0224521495,0.0225105621,21,100
Market-Adjusted Model,12540,2012-10-22,-0.046121551,-0.001578564,-0.003889588,21,100
Market-Adjusted Model,12541,2012-10-22,-0.081889055,-0.040130579,-0.039657092,21,100
Market-Adjusted Model,12542,2012-10-22,-0.046443659,-0.002008581,-0.004211696,21,100
Market-Adjusted Model,12543,2012-10-22,0.0125186837,0.0553865377,0.0547506468,21,100
Market-Adjusted Model,12545,2012-10-22,-0.150148898,-0.112892495,-0.107916935,21,100
Market-Adjusted Model,12548,2012-10-22,0.1072170551,0.1521673119,0.1494490182,21,100
Market-Adjusted Model,12549,2012-10-22,-0.135839398,-0.098787809,-0.093607435,21,100
Market-Adjusted Model,12550,2012-10-22,-0.07349897,-0.023588476,-0.031267006,21,100
Market-Adjusted Model,12551,2012-10-22,0.0061700894,0.0513838631,0.0484020525,21,100
Market-Adjusted Model,12552,2012-10-22,-0.026119608,0.0163343375,0.0161123549,21,100
Market-Adjusted Model,12553,2012-10-22,-0.021866844,0.0207775086,0.0203651189,21,100
Market-Adjusted Model,12556,2012-10-22,-0.092592612,-0.048174866,-0.050360649,21,100
Market-Adjusted Model,12557,2012-10-22,0.090634425,0.1369819694,0.1328663881,21,100
Market-Adjusted Model,12558,2012-10-22,-0.065322138,-0.023601879,-0.023090175,21,100
Market-Adjusted Model,12559,2012-10-22,-0.132427802,-0.086369436,-0.090195839,21,100
Market-Adjusted Model,12560,2012-10-22,-0.029152423,0.0132970349,0.0130795398,21,100
Market-Adjusted Model,12561,2012-10-22,0.0047169385,0.0474982045,0.0469489016,21,100
Market-Adjusted Model,12564,2012-10-22,-0.009617545,0.0334568125,0.0326144185,21,100
Market-Adjusted Model,12565,2012-10-22,-0.003627969,0.0387681002,0.0386039937,21,100
Market-Adjusted Model,12566,2012-10-22,1.236744E-10,0.0427358978,0.0422319632,21,100
Market-Adjusted Model,12567,2012-10-22,-0.025455243,0.0189924542,0.0167767198,21,100
Market-Adjusted Model,12568,2012-10-22,-0.044396665,-0.000583019,-0.002164701,21,100
Market-Adjusted Model,12569,2012-10-22,-0.027027002,0.0232997324,0.0152049611,21,100
Market-Adjusted Model,12572,2012-10-22,-0.138364797,-0.098913507,-0.096132834,21,100
Market-Adjusted Model,12573,2012-10-22,-0.095394727,-0.052371117,-0.053162764,21,100
Market-Adjusted Model,12574,2012-10-22,-0.526946089,-0.671028945,-0.484714126,21,100
Market-Adjusted Model,12575,2012-10-22,-0.16546759,-0.121475821,-0.123235627,21,100
Market-Adjusted Model,12576,2012-10-22,-0.203435799,-0.173033342,-0.161203836,21,100
Market-Adjusted Model,12577,2012-10-22,-0.099404716,-0.058754609,-0.057172753,21,100
Market-Adjusted Model,12578,2012-10-22,-0.021920974,0.022119439,0.0203109889,21,100
Market-Adjusted Model,12579,2012-10-22,-0.043062156,0.005092838,-0.000830193,21,100
Market-Adjusted Model,12580,2012-10-22,-0.162454901,-0.059808672,-0.120222938,21,100
Market-Adjusted Model,12582,2012-10-22,-0.159964256,-0.12619504,-0.117732293,21,100
Market-Adjusted Model,12583,2012-10-22,-0.174123971,-0.145014348,-0.131892008,21,100
