,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
68908,037919,P,02,LC,21054.0,57940.0,2021-04-19,2022-12-30
68911,037920,P,02,LC,20950.0,58035.0,2021-04-22,2023-03-07
68915,037921,P,02,LC,20867.0,57969.0,2021-03-26,2023-09-11
68921,037923,P,02,LC,21085.0,57962.0,2021-04-09,
68922,037924,P,01,LC,20608.0,57951.0,2021-02-04,
68924,037925,P,01,LC,20468.0,57796.0,2021-02-04,
68934,037928,P,02,LC,20815.0,57750.0,2021-03-12,2023-01-09
68940,037936,P,02,LC,21078.0,57957.0,2021-04-05,2023-02-28
68944,037937,P,02,LC,20721.0,57868.0,2021-03-29,
68945,037938,P,01,LC,20640.0,57993.0,2021-02-10,
68952,037943,P,02,LC,21097.0,57978.0,2021-04-15,
68954,037946,P,01,LC,19480.0,57090.0,2021-02-01,2023-12-06
68959,037949,P,02,LC,21076.0,57956.0,2021-04-19,
68964,037951,P,02,LC,21024.0,57910.0,2021-04-12,
68969,037952,P,02,LC,20980.0,58051.0,2021-04-26,2023-09-29
68973,037953,P,03,LC,21029.0,57920.0,2021-05-01,
68977,037955,P,02,LC,22992.0,59213.0,2022-04-04,
68981,037956,P,02,LC,21315.0,58131.0,2021-05-10,2023-03-31
68985,037957,P,02,LC,21226.0,58036.0,2021-05-10,2022-12-30
68990,037958,P,02,LC,21000.0,58059.0,2021-04-29,2023-03-31
68995,037959,P,02,LC,20964.0,57872.0,2021-04-12,2022-12-30
68998,037960,P,02,LC,21003.0,57901.0,2021-04-09,2023-05-05
69002,037961,P,02,LC,20975.0,58048.0,2021-04-26,
69003,037962,P,01,LC,20563.0,57902.0,2021-02-17,2023-02-28
69007,037963,P,03,LC,20906.0,58015.0,2021-04-22,2022-12-30
69011,037964,P,02,LC,21030.0,57921.0,2021-04-15,2021-09-01
69014,037965,P,02,LC,21058.0,58114.0,2021-04-26,2023-03-08
69017,037966,P,03,LC,21053.0,57939.0,2021-04-01,
69020,037967,P,02,LC,21075.0,57955.0,2021-04-07,
69024,037968,P,02,LC,21082.0,57961.0,2021-04-12,2023-02-28
69027,037969,P,02,LC,21079.0,58140.0,2021-04-16,
69031,037970,P,02,LC,21099.0,57980.0,2021-04-09,2022-12-30
69032,037971,P,01,LC,21308.0,58296.0,2021-05-12,
69035,037975,P,02,LC,21015.0,58076.0,2021-04-30,2023-03-31
69039,037976,P,02,LC,21049.0,57934.0,2021-04-12,2023-12-29
69042,037977,P,02,LC,21306.0,58112.0,2021-05-03,2022-12-30
69045,037978,P,02,LC,21305.0,58111.0,2021-05-03,2022-12-30
69049,037979,P,02,LC,21073.0,57952.0,2021-04-05,2023-02-28
69050,037980,P,01,LC,20848.0,58138.0,2021-03-23,
69054,037981,P,03,LC,21255.0,58061.0,2021-05-03,
69057,037982,P,02,LC,20738.0,57883.0,2021-03-25,2023-09-29
69061,037983,P,03,LC,20924.0,57859.0,2021-05-01,2022-12-30
69065,037984,P,02,LC,21045.0,58101.0,2021-04-26,2023-03-08
69078,037993,P,02,LC,20767.0,57909.0,2021-03-15,2022-12-30
69082,037994,P,02,LC,20954.0,58041.0,2021-04-22,
69086,037997,P,02,LC,21265.0,58073.0,2021-05-19,
69092,037998,P,02,LC,20907.0,57853.0,2021-04-05,2022-10-26
69093,037998,P,02,LC,23445.0,59415.0,2022-10-27,
69097,037999,P,02,LC,21059.0,57943.0,2021-04-16,2022-12-30
69101,038000,P,02,LC,21221.0,58034.0,2021-05-07,2022-12-30
69103,038001,P,01,LC,18302.0,56584.0,2021-02-05,
69106,038002,P,02,LC,20953.0,58040.0,2021-04-22,
69109,038011,P,02,LC,21113.0,57990.0,2021-04-15,2022-12-30
69113,038012,P,02,LC,20979.0,57879.0,2021-04-19,2022-09-30
69118,038013,P,02,LC,20982.0,57886.0,2021-04-15,2023-02-28
69122,038014,P,02,LC,21018.0,58077.0,2021-04-29,
69127,038015,P,02,LC,21198.0,58018.0,2021-05-07,
69131,038016,P,02,LC,21056.0,57941.0,2021-04-16,
69135,038017,P,02,LC,21031.0,57923.0,2021-04-16,2022-12-30
69139,038018,P,02,LC,20930.0,57860.0,2021-04-19,
69140,038019,P,01,LC,20646.0,57997.0,2021-03-03,
69143,038020,P,02,LC,21088.0,58146.0,2021-04-09,2022-12-30
69144,038021,P,01,LC,20875.0,58157.0,2021-03-09,2023-03-10
69145,038022,P,01,LC,20876.0,58158.0,2021-03-09,
69149,038023,P,02,LC,21334.0,58156.0,2021-05-03,2023-03-31
69152,038024,P,02,LC,20970.0,58045.0,2021-04-22,2022-12-30
69156,038025,P,02,LC,21270.0,58081.0,2021-05-18,
69162,038026,P,02,LC,20974.0,57878.0,2021-04-19,2022-12-27
69163,038027,P,01,LC,19628.0,57234.0,2021-02-08,
69167,038029,P,02,LC,21093.0,57972.0,2021-04-19,2022-02-09
69168,038029,P,02,LC,22811.0,59200.0,2022-02-10,
69172,038030,P,02,LC,21019.0,58078.0,2021-04-22,
69182,038036,P,02,LC,21295.0,58103.0,2021-05-03,2023-03-31
69186,038037,P,02,LC,21319.0,58136.0,2021-05-03,
69187,038038,P,01,LC,20652.0,58002.0,2021-03-17,
69191,038039,P,02,LC,21264.0,58192.0,2021-05-21,
69195,038040,P,02,LC,21034.0,58090.0,2021-04-22,
69199,038041,P,02,LC,21038.0,57928.0,2021-04-19,2022-06-22
69200,038041,P,02,LC,23194.0,59322.0,2022-06-23,
69204,038042,P,02,LC,21932.0,58664.0,2021-09-27,
69208,038043,P,02,LC,21302.0,58110.0,2021-05-13,2022-12-30
69212,038044,P,02,LC,22308.0,58725.0,2021-11-11,
69216,038045,P,02,LC,20995.0,57897.0,2021-04-19,2023-03-02
69222,038046,P,02,LC,20952.0,58038.0,2021-04-23,2022-12-30
69226,038047,P,02,LC,21080.0,58141.0,2021-04-22,2022-12-30
69230,038048,P,02,LC,21671.0,58266.0,2021-07-16,2023-05-31
69234,038049,P,03,LC,21254.0,58060.0,2021-05-13,2023-03-31
69235,038050,P,01,LC,19970.0,57349.0,2021-02-10,2022-07-29
69238,038053,P,01,LC,20764.0,58075.0,2021-03-19,
69242,038056,P,01,LC,20569.0,57908.0,2021-02-26,
69248,038057,P,04,LC,20983.0,57888.0,2021-04-19,2022-11-30
69252,038058,P,02,LC,20986.0,57889.0,2021-04-19,2022-11-30
69256,038059,P,02,LC,20990.0,57894.0,2021-04-19,
69260,038060,P,03,LC,21007.0,58063.0,2021-04-22,
69265,038065,P,01,LC,19644.0,57124.0,2021-02-11,
69271,038070,P,02,LC,21023.0,58079.0,2021-04-22,
69274,038071,P,02,LC,21011.0,58070.0,2021-04-26,
69278,038072,P,02,LC,20994.0,58055.0,2021-04-22,2023-03-06
69280,038073,P,03,LC,20869.0,58151.0,2021-03-22,2023-07-31
69281,038075,P,01,LC,21289.0,58290.0,2021-05-11,
69282,038076,P,01,LC,19606.0,57154.0,2021-02-11,
69284,038077,P,01,LC,20421.0,57722.0,2021-01-22,
69286,038079,P,01,LC,19533.0,57079.0,2021-02-16,
69288,038081,P,01,LC,20823.0,58121.0,2021-03-12,
69290,038082,P,01,LC,20281.0,57428.0,2022-10-31,
69294,038087,P,04,LC,23054.0,58080.0,2022-04-28,
69298,038088,P,02,LC,22276.0,58709.0,2021-11-22,2023-11-06
69302,038089,P,02,LC,21025.0,58082.0,2021-04-26,
69306,038090,P,03,LC,20988.0,58052.0,2021-05-01,2023-03-31
69310,038091,P,02,LC,21279.0,58086.0,2021-05-14,2023-03-31
69312,038092,P,01,LC,20682.0,58024.0,2021-03-11,
69315,038093,P,02,LC,21033.0,58089.0,2021-04-22,2022-12-30
69319,038094,P,02,LC,21281.0,58087.0,2021-05-14,
69323,038095,P,02,LC,21035.0,58093.0,2021-04-30,
69328,038096,P,02,LC,21218.0,58030.0,2021-05-03,2022-11-30
69332,038097,P,02,LC,21014.0,58072.0,2021-04-29,2023-03-31
69336,038098,P,02,LC,21855.0,58471.0,2021-08-09,2023-06-30
69337,038099,P,01,LC,20831.0,58124.0,2021-03-04,2023-12-29
69338,038100,P,01,LC,20832.0,58125.0,2021-04-30,
69339,038101,P,01,LC,20833.0,58126.0,2021-04-30,2023-04-28
69340,038102,P,01,LC,20838.0,58133.0,2021-03-05,2022-12-30
69345,038103,P,02,LC,21318.0,58134.0,2021-05-10,2023-03-31
69349,038105,P,02,LC,21083.0,58143.0,2021-04-22,2022-12-30
69353,038106,P,02,LC,21092.0,58154.0,2021-04-26,2022-12-30
69358,038107,P,02,LC,21331.0,58152.0,2021-05-06,
69361,038108,P,02,LC,21337.0,58159.0,2021-05-13,2023-03-31
69364,038109,P,02,LC,21260.0,58067.0,2021-05-13,
69365,038110,P,01,LC,20786.0,58095.0,2021-03-25,
69381,038120,P,02,LC,21911.0,58548.0,2021-09-17,
69385,038121,P,02,LC,21287.0,58094.0,2021-05-11,2023-03-02
69386,038121,P,02,LC,23801.0,59524.0,2023-03-03,
69390,038123,P,02,LC,21292.0,58097.0,2021-05-13,2023-07-31
69394,038124,P,02,LC,21299.0,58108.0,2021-05-11,2022-12-30
69396,038125,P,01,LC,20649.0,58000.0,2021-03-12,
69400,038126,P,02,LC,20945.0,58032.0,2021-04-26,
69404,038127,P,02,LC,20946.0,58033.0,2021-04-26,2023-12-29
69408,038128,P,02,LC,21067.0,58120.0,2021-04-26,2023-04-28
69412,038129,P,02,LC,20962.0,58042.0,2021-04-30,2022-11-30
69416,038130,P,02,LC,21877.0,58485.0,2021-08-20,2022-12-30
69420,038131,P,02,LC,21332.0,58155.0,2021-05-03,2023-07-31
69424,038132,P,02,LC,21002.0,58062.0,2021-04-23,
69428,038133,P,02,LC,21010.0,58069.0,2021-04-26,2023-03-10
69433,038134,P,02,LC,21009.0,58068.0,2021-04-26,2023-03-10
69437,038135,P,02,LC,20919.0,58025.0,2021-04-26,
69444,038140,P,02,LC,20931.0,58028.0,2021-04-30,2023-12-29
69449,038141,P,02,LC,21293.0,58100.0,2021-05-03,2023-03-31
69453,038143,P,02,LC,21229.0,58039.0,2021-05-14,2023-03-31
69458,038145,P,02,LC,22421.0,58772.0,2021-11-08,2022-12-30
69473,038159,P,02,LC,21969.0,58610.0,2021-09-08,2023-07-31
69474,038160,P,01,LC,20654.0,58004.0,2021-03-18,
69478,038161,P,02,LC,21307.0,58113.0,2021-05-10,2023-03-31
69480,038163,P,01,LC,20550.0,57871.0,2021-02-24,
69485,038170,P,02,LC,21521.0,58280.0,2021-06-28,2023-05-05
69489,038171,P,02,LC,21846.0,58449.0,2021-08-16,2022-12-30
69493,038172,P,02,LC,21715.0,58450.0,2021-07-30,2022-12-30
69497,038173,P,02,LC,21298.0,58104.0,2021-05-07,
69498,038174,P,01,LC,20647.0,57998.0,2021-03-04,
69502,038175,P,02,LC,21340.0,58160.0,2021-05-07,2023-03-31
69506,038177,P,02,LC,21108.0,57988.0,2021-04-19,
69510,038181,P,90,LC,20728.0,58044.0,2021-03-08,
69517,038184,P,03,LC,20948.0,57864.0,2021-04-19,2021-10-29
69523,038186,P,02,LC,21267.0,58074.0,2021-07-01,2022-12-30
69527,038187,P,02,LC,21277.0,58198.0,2021-05-28,2023-11-30
69528,038188,P,01,LC,20656.0,58006.0,2021-03-24,
69532,038190,P,02,LC,21852.0,58461.0,2021-08-02,2023-06-30
69536,038193,P,02,LC,21751.0,58302.0,2021-07-02,2023-05-31
69540,038194,P,02,LC,22339.0,58744.0,2021-11-05,2022-12-30
69543,038196,P,02,LC,23011.0,59169.0,2022-04-01,
69546,038198,P,01,LC,18937.0,56815.0,2021-03-01,
69550,038200,P,02,LC,21061.0,58115.0,2021-04-22,
69562,038209,P,01,LC,20794.0,58099.0,2021-03-03,
69566,038211,P,02,LC,21193.0,58014.0,2021-05-10,2022-12-30
69568,038212,P,01,LC,20894.0,58169.0,2021-04-15,
69569,038217,P,01,LC,20779.0,58088.0,2021-03-23,2023-03-31
69570,038218,P,01,LC,21561.0,58468.0,2021-06-09,2022-12-30
69571,038221,P,01,LC,20866.0,58149.0,2021-03-18,2022-12-30
69572,038222,P,01,LC,20760.0,58066.0,2021-03-30,
69574,038223,P,01,LC,22298.0,58939.0,2021-11-08,
69592,038237,P,02,LC,21361.0,58176.0,2021-06-01,
69593,038238,P,01,LC,20661.0,58011.0,2021-03-26,
69595,038239,P,01,LC,22183.0,58828.0,2021-10-26,
69598,038240,P,02,LC,22253.0,58687.0,2021-10-01,
69602,038241,P,02,LC,22974.0,59160.0,2022-03-04,
69606,038242,P,02,LC,21908.0,58546.0,2021-09-16,
69610,038243,P,02,LC,21915.0,58552.0,2021-09-13,2023-07-31
69616,038246,P,02,LC,22395.0,58767.0,2021-11-15,2023-11-30
69620,038247,P,02,LC,21575.0,58212.0,2021-06-08,
69626,038248,P,02,LC,21321.0,58142.0,2022-01-01,2023-04-12
69630,038249,P,02,LC,21588.0,58224.0,2021-06-21,
69634,038251,P,03,LC,21795.0,58516.0,2021-08-30,2023-12-29
