Model,permno,evtdate,cret,car,bhar,nrets,nrets_est
Market-Adjusted Model,88031,10/22/2012,-0.211409762,-0.159695668,-0.169177799,21,100
Market-Adjusted Model,88148,10/22/2012,-0.178107617,-0.149422558,-0.135875654,21,100
Market-Adjusted Model,88152,10/22/2012,-0.140687722,-0.100958047,-0.098455759,21,100
Market-Adjusted Model,88159,10/22/2012,-0.054216865,-0.009371614,-0.011984902,21,100
Market-Adjusted Model,88166,10/22/2012,-0.186011914,-0.1452857,-0.143779951,21,100
Market-Adjusted Model,88167,10/22/2012,-0.180415799,-0.149274382,-0.138183836,21,100
Market-Adjusted Model,88172,10/22/2012,-0.026888612,0.017240697,0.015343351,21,100
Market-Adjusted Model,88173,10/22/2012,-0.315384602,-0.311469508,-0.273152639,21,100
Market-Adjusted Model,88174,10/22/2012,-0.265386732,-0.255366822,-0.223154769,21,100
Market-Adjusted Model,88177,10/22/2012,-0.190789445,-0.150740627,-0.148557482,21,100
Market-Adjusted Model,88181,10/22/2012,0.009433921,0.0554951,0.051665884,21,100
Market-Adjusted Model,88182,10/22/2012,0.016233829,0.065473522,0.058465792,21,100
Market-Adjusted Model,88183,10/22/2012,0.047169809,0.089456878,0.089401772,21,100
Market-Adjusted Model,88193,10/22/2012,-0.100422818,-0.053637446,-0.058190854,21,100
Market-Adjusted Model,88195,10/22/2012,-0.171653494,-0.137535689,-0.12942153,21,100
Market-Adjusted Model,88196,10/22/2012,-0.112790487,-0.070919431,-0.070558524,21,100
Market-Adjusted Model,88197,10/22/2012,-0.070588259,-0.027615018,-0.028356296,21,100
Market-Adjusted Model,88203,10/22/2012,-0.211159762,-0.171674866,-0.168927799,21,100
Market-Adjusted Model,88207,10/22/2012,-0.015863956,0.029469776,0.026368007,21,100
Market-Adjusted Model,88208,10/22/2012,-0.26262625,-0.245831469,-0.220394286,21,100
Market-Adjusted Model,88214,10/22/2012,-0.031907784,0.011701616,0.010324179,21,100
Market-Adjusted Model,88215,10/22/2012,-0.04396726,-0.0017639,-0.001735297,21,100
Market-Adjusted Model,88216,10/22/2012,-0.049415642,-0.007584155,-0.007183679,21,100
Market-Adjusted Model,88217,10/22/2012,-0.037153058,0.00539957,0.005078905,21,100
Market-Adjusted Model,88218,10/22/2012,-0.01465127,0.028605573,0.027580693,21,100
Market-Adjusted Model,88219,10/22/2012,-0.035125858,0.007490547,0.007106105,21,100
Market-Adjusted Model,88220,10/22/2012,-0.047175427,-0.005202763,-0.004943464,21,100
Market-Adjusted Model,88221,10/22/2012,-0.040406571,0.001880833,0.001825392,21,100
Market-Adjusted Model,88222,10/22/2012,-0.044822307,-0.002532402,-0.002590344,21,100
Market-Adjusted Model,88223,10/22/2012,-0.041526528,0.000697366,0.000705435,21,100
Market-Adjusted Model,88224,10/22/2012,-0.083462716,-0.043955492,-0.041230753,21,100
Market-Adjusted Model,88225,10/22/2012,-0.079411343,-0.038840814,-0.03717938,21,100
Market-Adjusted Model,88228,10/22/2012,-0.028704898,0.014225141,0.013527066,21,100
Market-Adjusted Model,88229,10/22/2012,-0.033677427,0.008983642,0.008554536,21,100
Market-Adjusted Model,88233,10/22/2012,-0.041467341,0.000687562,0.000764622,21,100
Market-Adjusted Model,88239,10/22/2012,0.201562485,0.238898098,0.243794448,21,100
Market-Adjusted Model,88240,10/22/2012,-0.278317125,-0.24595144,-0.236085161,21,100
Market-Adjusted Model,88244,10/22/2012,-0.145833356,-0.106588214,-0.103601393,21,100
Market-Adjusted Model,88246,10/22/2012,0.011834309,0.057668597,0.054066272,21,100
Market-Adjusted Model,88257,10/22/2012,0.050318039,0.096843948,0.092550002,21,100
Market-Adjusted Model,88258,10/22/2012,-0.182372853,-0.154611579,-0.14014089,21,100
Market-Adjusted Model,88260,10/22/2012,-0.233552654,-0.190675346,-0.191320691,21,100
Market-Adjusted Model,88264,10/22/2012,-0.153439134,-0.112728496,-0.11120717,21,100
Market-Adjusted Model,88266,10/22/2012,0.037593952,0.081010598,0.079825915,21,100
Market-Adjusted Model,88278,10/22/2012,-0.090909076,-0.050437824,-0.048677113,21,100
Market-Adjusted Model,88280,10/22/2012,-0.053044622,-0.010725728,-0.010812659,21,100
Market-Adjusted Model,88281,10/22/2012,0.001245618,0.049397656,0.043477581,21,100
Market-Adjusted Model,88282,10/22/2012,-0.058542387,-0.015406012,-0.016310424,21,100
Market-Adjusted Model,88284,10/22/2012,0.049378465,0.098597696,0.091610428,21,100
Market-Adjusted Model,88287,10/22/2012,-0.058561431,-0.012933122,-0.016329468,21,100
Market-Adjusted Model,88290,10/22/2012,-0.058518516,-0.016695217,-0.016286553,21,100
Market-Adjusted Model,88291,10/22/2012,-0.027230192,0.015220794,0.015001772,21,100
Market-Adjusted Model,88292,10/22/2012,-0.046058414,-0.004211752,-0.003826451,21,100
Market-Adjusted Model,88294,10/22/2012,-0.013139623,0.029436317,0.02909234,21,100
Market-Adjusted Model,88295,10/22/2012,-0.014515017,0.028667653,0.027716946,21,100
Market-Adjusted Model,88296,10/22/2012,-0.046954313,-0.004994662,-0.00472235,21,100
Market-Adjusted Model,88297,10/22/2012,-0.034088963,0.00938531,0.008143,21,100
Market-Adjusted Model,88298,10/22/2012,-0.038671437,0.004418303,0.003560526,21,100
Market-Adjusted Model,88299,10/22/2012,-0.02512161,0.01733185,0.017110354,21,100
Market-Adjusted Model,88301,10/22/2012,-0.02048283,0.023663788,0.021749134,21,100
Market-Adjusted Model,88302,10/22/2012,-0.038240145,0.004088399,0.003991818,21,100
Market-Adjusted Model,88307,10/22/2012,-0.048408794,-0.006718706,-0.006176831,21,100
Market-Adjusted Model,88309,10/22/2012,-0.023405477,0.020865306,0.018826486,21,100
Market-Adjusted Model,88310,10/22/2012,0.001100942,0.045675408,0.043332905,21,100
Market-Adjusted Model,88313,10/22/2012,-0.119585509,-0.080437564,-0.077353546,21,100
