,gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
58433,029879,P,01,LU,83773.0,14802.0,1996-07-09,1999-10-29
58437,029883,P,01,LU,80358.0,12914.0,1994-03-11,2003-01-31
58440,029884,C,01,LU,80301.0,12916.0,1994-03-14,1998-06-08
58443,029886,C,01,LC,86230.0,34840.0,1998-07-08,2005-11-01
58445,029887,P,01,LC,88681.0,40158.0,2000-10-11,2009-12-31
58446,029887,P,01,LC,93223.0,53326.0,2010-01-04,2016-01-29
58450,029889,P,01,LU,80386.0,30350.0,1994-03-15,1995-10-11
58452,029891,P,01,LU,80388.0,30352.0,1994-03-15,1999-07-30
58453,029891,C,99X,LU,80388.0,30352.0,1999-07-31,1999-08-31
58456,029894,P,01,LU,80343.0,12917.0,1994-03-15,
58459,029895,P,01,LU,80356.0,12920.0,1994-03-15,2001-09-26
58461,029896,P,01,LU,80326.0,12921.0,1994-03-16,2003-03-31
58464,029897,C,01,LC,80396.0,30359.0,1994-03-16,1998-12-31
58466,029898,P,01,LU,80408.0,30372.0,1994-03-16,2002-04-30
58468,029899,P,01,LU,80369.0,12923.0,1994-03-16,2006-11-30
58471,029900,C,01,LC,80316.0,12924.0,1994-03-17,2017-04-07
58473,029901,P,01,LU,80320.0,12926.0,1994-03-17,
58477,029904,P,01,LU,80370.0,12925.0,1994-03-17,2001-08-31
58479,029905,P,01,LC,80384.0,30348.0,1994-03-18,2009-09-11
58480,029906,P,01,LU,80389.0,30353.0,1994-03-18,1999-06-30
58482,029907,P,01,LU,80337.0,12931.0,1994-03-18,1996-05-31
58485,029909,P,01,LC,80352.0,12929.0,1994-03-18,2000-10-02
58486,029909,P,02,LC,89310.0,12929.0,2002-02-22,2006-10-26
58488,029910,P,01,LU,80362.0,12933.0,1994-03-18,
58489,029912,P,01,LU,80401.0,30364.0,1994-03-18,
58492,029914,P,01,LC,16542.0,55835.0,2017-01-24,
58495,029916,C,01,LU,80382.0,30346.0,1994-03-22,2002-07-31
58498,029918,P,01,LU,80332.0,12937.0,1994-03-22,2001-01-31
58501,029921,P,01,LC,80368.0,12935.0,1994-03-22,2019-10-11
58506,029924,P,01,LU,80321.0,12941.0,1994-03-23,1998-10-30
58510,029926,P,01,LU,80323.0,12939.0,1994-03-23,1998-10-07
58513,029929,P,01,LU,80395.0,30358.0,1994-03-22,2003-03-31
58515,029930,C,01,LU,80341.0,12938.0,1994-03-23,
58517,029931,P,01,LU,80346.0,12940.0,1994-03-23,1997-01-31
58520,029932,P,01,LU,80311.0,12943.0,1994-03-24,1996-11-29
58522,029933,P,01,LU,80331.0,12942.0,1994-03-24,1998-03-31
58524,029934,P,01,LU,80393.0,30356.0,1994-03-24,2009-11-30
58525,029935,P,01,LU,80394.0,30357.0,1994-03-24,1998-07-31
58528,029936,P,90,LC,80380.0,12946.0,1994-04-29,1996-04-25
58531,029937,P,01,LU,80335.0,12944.0,1994-03-24,1996-06-10
58534,029939,P,01,LU,80310.0,12947.0,1994-03-25,2010-09-30
58536,029940,P,01,LC,80338.0,12948.0,1994-03-25,2008-07-18
58541,029942,P,01,LC,80402.0,30365.0,1994-04-04,1997-01-31
58542,029942,P,01,LC,84584.0,31929.0,1997-02-14,2013-01-31
58548,029946,P,01,LU,80336.0,12951.0,1994-03-28,
58551,029948,P,01,LC,80364.0,12950.0,1994-03-28,2006-08-31
58553,029950,P,01,LU,80302.0,12953.0,1994-03-29,1999-11-30
58557,029952,P,01,LU,80317.0,12959.0,1994-03-29,2000-06-30
58561,029953,P,01,LC,80360.0,12958.0,1994-03-29,2003-09-19
58564,029954,P,01,LU,80404.0,30367.0,1994-03-29,2003-03-21
58566,029955,P,01,LC,80307.0,12952.0,1994-03-29,
58570,029957,P,01,LU,80315.0,12956.0,1994-03-29,1996-02-29
58572,029958,P,01,LU,80305.0,12957.0,1994-03-29,1998-04-30
58576,029962,C,01,LC,93397.0,53423.0,2010-05-27,
58579,029963,P,01,LU,80351.0,12955.0,1994-03-29,2000-08-29
58581,029964,P,01,LU,80357.0,12954.0,1994-03-29,2019-05-31
58587,029965,C,01,LC,87828.0,33885.0,2000-03-29,2005-06-28
58591,029968,P,01,LU,80303.0,12961.0,1994-03-30,2020-03-31
58595,029971,P,01,LU,80319.0,12963.0,1994-03-30,1996-06-28
